"Serial","Participant","ActionType","ActionParameters","Date","Time","Group","Day","duration"
"157","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 40M 36S,"Group2","Day2",16
"158","VAST32P","GetDetail","Article 198","7/18/19",8H 40M 52S,"Group2","Day2",5
"159","VAST32P","GetDetail","Article 198","7/18/19",8H 40M 57S,"Group2","Day2",3
"160","VAST32P","GetDetail","Article 164","7/18/19",8H 41M 0S,"Group2","Day2",23
"161","VAST32P","GetDetail","Article 253","7/18/19",8H 41M 23S,"Group2","Day2",37
"162","VAST32P","EditNotes","VAST32P_revision_33_July_18_8:42_AM.patch","7/18/19",8H 42M 0S,"Group2","Day2",22
"163","VAST32P","GetDetail","Article 112","7/18/19",8H 42M 22S,"Group2","Day2",16
"164","VAST32P","GetDetail","Article 79","7/18/19",8H 42M 38S,"Group2","Day2",20
"165","VAST32P","GetDetail","Article 4","7/18/19",8H 42M 58S,"Group2","Day2",18
"166","VAST32P","GetDetail","Article 449","7/18/19",8H 43M 16S,"Group2","Day2",17
"167","VAST32P","GetDetail","Article 38","7/18/19",8H 43M 33S,"Group2","Day2",20
"168","VAST32P","GetDetail","Article 117","7/18/19",8H 43M 53S,"Group2","Day2",27
"169","VAST32P","AddElement","Juliana Vann (D)","7/18/19",8H 44M 20S,"Group2","Day2",1
"170","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 44M 21S,"Group2","Day2",21
"171","VAST32P","AddElement","Edvard Vann","7/18/19",8H 44M 42S,"Group2","Day2",36
"172","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 45M 18S,"Group2","Day2",11
"173","VAST32P","AddElement","Edvard Vann (Security)","7/18/19",8H 45M 29S,"Group2","Day2",1
"174","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 45M 30S,"Group2","Day2",7
"175","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 45M 37S,"Group2","Day2",4
"176","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 0","7/18/19",8H 45M 41S,"Group2","Day2",38
"177","VAST32P","GetDetail","Article 117","7/18/19",8H 46M 19S,"Group2","Day2",45
"178","VAST32P","GetDetail","Article 251","7/18/19",8H 47M 4S,"Group2","Day2",12
"179","VAST32P","GetDetail","Article 222","7/18/19",8H 47M 16S,"Group2","Day2",13
"180","VAST32P","GetDetail","Article 436","7/18/19",8H 47M 29S,"Group2","Day2",20
"181","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 47M 49S,"Group2","Day2",4
"182","VAST32P","GetDetail","Article 111","7/18/19",8H 47M 53S,"Group2","Day2",12
"183","VAST32P","GetDetail","Article 457","7/18/19",8H 48M 5S,"Group2","Day2",39
"184","VAST32P","GetDetail","Article 143","7/18/19",8H 48M 44S,"Group2","Day2",17
"185","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 49M 1S,"Group2","Day2",62
"186","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 50M 3S,"Group2","Day2",NA
"187","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 54M 59S,"Group2","Day2",32
"188","VAST32P","AddConnection","Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D)","7/18/19",8H 55M 31S,"Group2","Day2",13
"189","VAST32P","AddConnection","Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D)","7/18/19",8H 55M 44S,"Group2","Day2",1
"190","VAST32P","AddConnection","Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D)","7/18/19",8H 55M 45S,"Group2","Day2",5
"191","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 55M 50S,"Group2","Day2",12
"192","VAST32P","AddConnection","Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D)","7/18/19",8H 56M 2S,"Group2","Day2",4
"193","VAST32P","AddElement","Jeroen Carol","7/18/19",8H 56M 6S,"Group2","Day2",1
"194","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 56M 7S,"Group2","Day2",8
"195","VAST32P","AddElement","Jeroen Carol (D)","7/18/19",8H 56M 15S,"Group2","Day2",11
"196","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 56M 26S,"Group2","Day2",4
"197","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 56M 30S,"Group2","Day2",7
"198","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 56M 37S,"Group2","Day2",4
"199","VAST32P","AddElement","Jeroen Carol (D)","7/18/19",8H 56M 41S,"Group2","Day2",1
"200","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 56M 42S,"Group2","Day2",20
"201","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 57M 2S,"Group2","Day2",1
"202","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 57M 3S,"Group2","Day2",1
"203","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 57M 4S,"Group2","Day2",4
"204","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 57M 8S,"Group2","Day2",3
"205","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 57M 11S,"Group2","Day2",13
"206","VAST32P","AddConnection","Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D), Jeroen Carol, Jeroen Carol (D), Vann (?)","7/18/19",8H 57M 24S,"Group2","Day2",1
"207","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 57M 25S,"Group2","Day2",18
"208","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 57M 43S,"Group2","Day2",29
"209","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 58M 12S,"Group2","Day2",1
"210","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 58M 13S,"Group2","Day2",1
"211","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 58M 14S,"Group2","Day2",3
"212","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 58M 17S,"Group2","Day2",2
"213","VAST32P","AddConnection","Elian Karel, Elian Kare (D), Edvard Vann, Elian Karel (D), Jeroen Carol, Jeroen Carol (D), Elian Karel aka Elian Karel (D)","7/18/19",8H 58M 19S,"Group2","Day2",1
"214","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 58M 20S,"Group2","Day2",1
"215","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 58M 21S,"Group2","Day2",11
"216","VAST32P","Search","Vann AND POK from 1982-01-01 to 2015-01-01 page 1","7/18/19",8H 58M 32S,"Group2","Day2",6
